iter	Passed	Remaining
0	8	797
1	15	769
2	39	1267
3	47	1147
4	56	1077
5	63	987
6	69	917
7	75	866
8	81	819
9	87	788
10	93	759
11	99	732
12	105	708
13	111	687
14	117	667
15	124	651
16	129	634
17	136	619
18	143	611
19	149	598
20	156	587
21	162	574
22	168	565
23	175	554
24	181	543
25	188	535
26	194	525
27	200	516
28	206	506
29	212	495
30	218	487
31	224	478
32	231	469
33	237	460
34	243	451
35	249	443
36	255	435
37	261	426
38	268	419
39	274	411
40	280	403
41	286	396
42	292	388
43	299	380
44	305	373
45	311	365
46	317	357
47	323	350
48	329	343
49	336	336
50	342	328
51	348	321
52	355	315
53	361	308
54	370	303
55	376	295
56	383	289
57	390	282
58	397	275
59	404	269
60	410	262
61	417	255
62	423	248
63	430	242
64	436	235
65	443	228
66	452	222
67	458	215
68	466	209
69	472	202
70	481	196
71	487	189
72	495	183
73	503	176
74	512	170
75	519	163
76	527	157
77	533	150
78	539	143
79	551	137
80	559	131
81	568	124
82	577	118
83	586	111
84	597	105
85	603	98
86	615	92
87	622	84
88	630	77
89	636	70
90	646	63
91	653	56
92	665	50
93	673	43
94	680	35
95	686	28
96	692	21
97	699	14
98	705	7
99	712	0
